"Country","FitW","FitW_score","IoEF","IoEF_score","PFI","PFI_score","DI","DI_score"
"NORWAY","free","100","mostly free","76.9","good","95.18","full democracy","9.81"
"IRELAND","free","97","free","82","good","89.91","full democracy","9.05"
"SWEDEN","free","100","mostly free","77.5","good","88.15","full democracy","9.26"
"FINLAND","free","100","mostly free","77.1","good","87.94","full democracy","9.2"
"DENMARK","free","97","mostly free","77.6","good","89.48","full democracy","9.15"
"SWITZERLAND","free","96","free","83.8","satisfactory","84.4","full democracy","8.83"
"NEW ZEALAND","free","99","mostly free","78.9","satisfactory","84.23","full democracy","9.25"
"NETHERLANDS","free","97","mostly free","78","good","87","full democracy","8.96"
"LUXEMBOURG","free","97","mostly free","78.4","satisfactory","81.98","full democracy","8.68"
"ESTONIA","free","94","mostly free","78.6","good","85.31","flawed democracy","7.84"
"CANADA","free","98","mostly free","73.7","satisfactory","83.53","full democracy","9.24"
"TAIWAN","free","94","free","80.7","satisfactory","75.54","full democracy","8.94"
"ICELAND","free","94","mostly free","72.2","satisfactory","83.19","full democracy","9.37"
"GERMANY","free","94","mostly free","73.7","satisfactory","81.91","full democracy","8.67"
"PORTUGAL","free","96","moderately free","69.5","satisfactory","84.6","flawed democracy","7.9"
"AUSTRALIA","free","95","mostly free","74.8","satisfactory","78.24","full democracy","8.96"
"CZECH REPUBLIC","free","92","mostly free","71.9","satisfactory","83.58","flawed democracy","7.67"
"LITHUANIA","free","89","mostly free","72.2","good","86.79","flawed democracy","7.13"
"LATVIA","free","88","mostly free","72.8","satisfactory","83.27","flawed democracy","7.24"
"UNITED KINGDOM","free","93","moderately free","69.9","satisfactory","78.51","full democracy","8.54"
"AUSTRIA","free","93","mostly free","71.1","satisfactory","77.3","full democracy","8.16"
"SLOVAKIA","free","90","moderately free","69","satisfactory","83.22","flawed democracy","6.97"
"BELGIUM","free","96","moderately free","67.1","satisfactory","76.47","flawed democracy","7.51"
"COSTA RICA","free","91","moderately free","66.5","satisfactory","80.2","full democracy","8.16"
